,2018,2019,2020,2021,2022
Currency,USD,USD,USD,USD,USD
Total Assets,258848000000,286556000000,301311000000,333779000000,364840000000
Total Current Assets,169662000000,175552000000,181915000000,184406000000,169684000000
Cash & Cash Equivalents at Carrying Value,11946000000,11356000000,13576000000,14224000000,13931000000
Cash & Short-Term Investments,133768000000,133819000000,136527000000,130334000000,104757000000
Inventory,2662000000,2063000000,1895000000,2636000000,3742000000
Current Net Receivables,26481000000,29524000000,32011000000,39008000000,45261000000
Total Non-Current Assets,84300000000,105825000000,122096000000,152773000000,198956000000
Property Plant & Equipment,29460000000,36477000000,44151000000,59715000000,74398000000
Accumulated Depreciation & Amortization(PPE),29223000000,35330000000,43197000000,51351000000,59660000000
Intangible Assets,43736000000,49776000000,50389000000,57511000000,78822000000
Intangible Assets Excluding Goodwill,8053000000,7750000000,7038000000,7800000000,11298000000
Goodwill,35683000000,42026000000,43351000000,49711000000,67524000000
Investments,129579000000,129789000000,130044000000,122266000000,95583000000
Long-Term Investments,1862000000,2649000000,2965000000,5984000000,6891000000
Short-Term Investments,121822000000,122463000000,122951000000,116110000000,90826000000
Other Current Assets,6751000000,10146000000,11482000000,13393000000,16924000000
Other Non-Current Assets,7442000000,14723000000,13138000000,15075000000,21897000000
Total Liabilities,176130000000,184226000000,183007000000,191791000000,198298000000
Total Current Liabilities,58488000000,69420000000,72310000000,88657000000,95082000000
Current Accounts Payable,8617000000,9382000000,12530000000,15163000000,19000000000
Deferred Revenue,None,74412000000,78360000000,88282000000,96816000000
Current Debt,3998000000,5516000000,3749000000,8072000000,2749000000
Short-Term Debt,0,0,3749000000,8072000000,2749000000
Total Non-Current Liabilities,112074000000,108618000000,110697000000,103134000000,103216000000
Capital Lease Obligations,5568000000,6188000000,7671000000,9629000000,11489000000
Long-Term Debt,76200000000,72178000000,63327000000,58146000000,49781000000
Current Long-Term Debt,3998000000,5516000000,3749000000,8072000000,2749000000
Long-Term Debt Noncurrent,72242000000,66662000000,59578000000,50074000000,47032000000
Short & Long-Term Debt Total,76200000000,72200000000,63327000000,58146000000,49781000000
Other Current Liabilities,8744000000,9351000000,10027000000,11666000000,13067000000
Other Non-Current Liabilities,5211000000,7581000000,10632000000,13427000000,15526000000
Total Shareholder Equity,82718000000,102330000000,118304000000,141988000000,166542000000
Treasury Stock,None,None,None,None,None
Retained Earnings,13682000000,24150000000,34566000000,57055000000,84281000000
Common Stock,71223000000,78520000000,80552000000,83111000000,86939000000
Common Stock Shares Outstanding,7677000000,7643000000,7571000000,7519000000,7464000000
